##### start data
#F Ni_300mesh_2-13_NISTsi_nor.gr
#D Wed May  3 11:48:27 2006
#C 
#S 1    G(r)
#D 
#L r(A)    G(r)    d_r    d_Gr
   3.520000e+00     2.310391e+00    -2.654017e+00     4.717161e-04  
   3.530000e+00     2.319138e+00    -2.661557e+00     4.751132e-04  
   3.540000e+00     2.271915e+00    -2.669097e+00     4.787945e-04  
   3.550000e+00     2.169484e+00    -2.676637e+00     4.815619e-04  
   3.560000e+00     2.013988e+00    -2.684177e+00     4.825152e-04  
   3.570000e+00     1.808928e+00    -2.691716e+00     4.812983e-04  
   3.580000e+00     1.559088e+00    -2.699256e+00     4.781895e-04  
   3.590000e+00     1.270407e+00    -2.706796e+00     4.740249e-04  
   3.600000e+00     9.498057e-01    -2.714336e+00     4.699659e-04  
   3.610000e+00     6.049650e-01    -2.721876e+00     4.671565e-04  
   3.620000e+00     2.440667e-01    -2.729416e+00     4.663603e-04  
   3.630000e+00    -1.244947e-01    -2.736955e+00     4.677056e-04  
   3.640000e+00    -4.924178e-01    -2.744495e+00     4.706467e-04  
   3.650000e+00    -8.518025e-01    -2.752035e+00     4.741592e-04  
   3.660000e+00    -1.195446e+00    -2.759575e+00     4.770826e-04  
   3.670000e+00    -1.517113e+00    -2.767115e+00     4.784790e-04  
   3.680000e+00    -1.811757e+00    -2.774655e+00     4.779016e-04  
   3.690000e+00    -2.075690e+00    -2.782194e+00     4.755153e-04  
   3.700000e+00    -2.306687e+00    -2.789734e+00     4.720525e-04  
   3.710000e+00    -2.504007e+00    -2.797274e+00     4.686087e-04  
   3.720000e+00    -2.668346e+00    -2.804814e+00     4.663184e-04  
   3.730000e+00    -2.801708e+00    -2.812354e+00     4.659913e-04  
   3.740000e+00    -2.907212e+00    -2.819893e+00     4.678356e-04  
   3.750000e+00    -2.988838e+00    -2.827433e+00     4.713808e-04  
